Date,AGL.JO,BID.JO,CPI.JO
2020-01-02,39764.11328125,33434.609375,144701.171875
2020-01-03,39706.3515625,33544.48828125,144411.421875
2020-01-06,39336.296875,33064.02734375,143111.671875
2020-01-07,39221.7578125,32981.11328125,143391.390625
2020-01-08,39276.58203125,32980.11328125,143111.671875
2020-01-09,38936.875,33186.88671875,144315.515625
2020-01-10,39352.94140625,33499.5390625,144286.53125
2020-01-13,39862.98828125,33361.69140625,142996.765625
2020-01-14,39827.74609375,33653.3671875,143222.59375
2020-01-15,39447.90234375,33558.4765625,143309.484375
2020-01-16,40200.734375,33628.390625,143628.171875
2020-01-17,41525.29296875,33521.515625,144832.03125
2020-01-20,41634.9375,34707.18359375,143408.375
2020-01-21,40847.83984375,34442.484375,142456.3125
2020-01-22,40539.4609375,34845.0390625,141163.546875
2020-01-23,39299.09765625,34286.65625,138825.8125
2020-01-24,39577.125,34761.1171875,139065.578125
2020-01-27,38070.48046875,34291.65625,137145.4375
2020-01-28,38127.26171875,34067.90625,136867.6875
2020-01-29,38232.9921875,34403.52734375,136368.21875
2020-01-30,38353.40625,34303.63671875,136859.703125
2020-01-31,38241.80078125,33187.8828125,134485.015625
2020-02-03,37840.421875,32356.818359375,134359.109375
2020-02-04,38804.71484375,32551.59765625,137085.515625
2020-02-05,39012.2578125,32954.14453125,138885.71875
2020-02-06,39139.5234375,33038.05859375,138872.78125
2020-02-07,38755.765625,32005.208984375,137396.171875
2020-02-10,38453.26171875,32082.12109375,136493.0625
2020-02-11,38614.79296875,32413.755859375,137065.546875
2020-02-12,40435.69140625,32557.59375,139289.390625
2020-02-13,40482.6796875,32615.525390625,140401.296875
2020-02-14,39969.6953125,32809.30859375,140408.265625
2020-02-17,40370.09765625,31649.607421875,143860.9375
2020-02-18,39604.5390625,31362.9296875,143727.078125
2020-02-19,39621.1796875,31472.8046875,143708.09375
2020-02-20,40607.01171875,31474.8046875,141421.3125
2020-02-21,40654.00390625,31591.669921875,138955.703125
2020-02-24,37250.09765625,29801.673828125,134462.03125
2020-02-25,37900.13671875,30116.322265625,133552.90625
2020-02-26,37280.4453125,29567.935546875,136072.5
2020-02-27,35866.80078125,28782.810546875,133043.390625
2020-02-28,34593.15234375,27781.93359375,129873.4765625
2020-03-02,35759.11328125,28388.255859375,133227.234375
2020-03-03,37265.76171875,29367.158203125,135575.953125
2020-03-04,36656.8359375,29617.876953125,136269.265625
2020-03-05,36034.20703125,29110.447265625,134798.703125
2020-03-06,33774.7265625,28767.826171875,132372.0625
2020-03-09,30716.400390625,28120.5546875,129010.296875
2020-03-10,31594.54296875,27921.775390625,129260.078125
2020-03-11,30541.1640625,27881.8203125,129825.5
